step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
23,0.195591241,-0.185094684,9.09663773,0.565908611,-0.0733035505,8.62734604,0.982997596,0.0714427531,8.1660471,1.43975723,-0.0836318731,7.69785404,1.77656245,0.000729484484,7.15924358,2.02996874,0.117732801,6.62645864,2.29371309,-0.0842629299,6.11093569,2.64478731,-0.00613934966,5.64547348,3.13320351,0.119981982,5.26123095,3.54860187,-0.0672583207,4.77623463,3.82716298,-0.0291322153,4.20129013,3.9877193,0.15437682,3.70976686
24,0.204773799,-0.192605689,9.0239315,0.574950755,-0.0808340535,8.55613422,0.993961096,0.0644739792,8.09655285,1.45390773,-0.0867865086,7.62942934,1.78879011,-0.00352955936,7.08936071,2.03736711,0.113167726,6.55568933,2.29767632,-0.0876997933,6.03952742,2.64748406,-0.0102650709,5.57603168,3.13998222,0.115026407,5.19655657,3.55762124,-0.0700188503,4.71151447,3.83170438,-0.034198232,4.13410711,3.9831214,0.151064679,3.64535046
25,0.214033291,-0.200099349,8.94843292,0.584062934,-0.0883534998,8.48214817,1.00498557,0.0574518479,8.02429581,1.46805906,-0.0899241716,7.55822706,1.80098367,-0.00777671719,7.01671886,2.04475141,0.108595334,6.48219109,2.30170441,-0.0911333337,5.96538258,2.65022969,-0.0143498871,5.50387287,3.14673972,0.11002019,5.12914944,3.56661463,-0.0727779567,4.64402723,3.83618021,-0.0392146744,4.06421375,3.97847533,0.147715479,3.57836604
26,0.223369524,-0.207575485,8.87014294,0.593245506,-0.0958615914,8.40538692,1.01607049,0.0503774248,7.94927692,1.48220825,-0.0930458531,7.48424959,1.81314158,-0.0120131783,6.94132042,2.05212164,0.104016729,6.40596533,2.30579638,-0.0945634469,5.88850164,2.65302515,-0.0183951166,5.42899561,3.15347719,0.104964435,5.05900812,3.57557964,-0.0755357966,4.57377386,3.84059024,-0.0441826954,3.99161005,3.97378492,0.144330293,3.50880933
27,0.23278226,-0.215033963,8.78906345,0.602498889,-0.103358038,8.32585239,1.02721548,0.0432518125,7.87149763,1.49635243,-0.0961525291,7.40749836,1.82526243,-0.0162401218,6.86316776,2.05947781,0.0994329453,6.32701302,2.30995178,-0.0979900137,5.80888557,2.65587139,-0.022402063,5.35139942,3.16019583,0.0998602659,4.98613167,3.5845139,-0.0782925114,4.50075483,3.84493423,-0.0491035134,3.91629672,3.96905422,0.140910223,3.43667531
28,0.242271215,-0.22247465,8.70519447,0.61182332,-0.110842571,8.24354458,1.03842008,0.0360761546,7.79095936,1.51048899,-0.0992451534,7.3279748,1.837345,-0.0204587001,6.7822628,2.06682014,0.094844915,6.2453351,2.31416988,-0.10141287,5.72653532,2.65876961,-0.0263719261,5.27108383,3.1668961,0.0947087258,4.91051865,3.59341526,-0.0810482651,4.42497063,3.84921193,-0.0539782755,3.83827424,3.96428633,0.137456313,3.36195993
29,0.251836121,-0.229897425,8.61853695,0.621219039,-0.118314914,8.15846539,1.04968393,0.0288516171,7.70766306,1.52461529,-0.102324694,7.24568081,1.84938824,-0.0246700924,6.69860697,2.07414889,0.0902535468,6.16093254,2.31844997,-0.10483183,5.64145136,2.66172051,-0.0303059556,5.18804789,3.17357922,0.0895109475,4.8321681,3.60228157,-0.0838031918,4.34642267,3.85342336,-0.0588082261,3.75754309,3.95948505,0.133969635,3.28465867
30,0.261476755,-0.237302139,8.52909184,0.630686522,-0.125774801,8.07061481,1.06100643,0.0215793699,7.62161016,1.53872871,-0.105392121,7.16061831,1.86139119,-0.028875418,6.61220217,2.08146429,0.0856596455,6.07380629,2.32279134,-0.108246684,5.55363464,2.6647253,-0.0342052951,5.10229063,3.18024564,0.0842679664,4.75107908,3.61111045,-0.0865574628,4.26511145,3.85756826,-0.0635945052,3.67410374,3.95465326,0.130451217,3.20476747
31,0.271192878,-0.24468869,8.43686008,0.640225947,-0.133221954,7.97999382,1.0723871,0.0142606236,7.53280163,1.55282676,-0.108448371,7.07278824,1.87335277,-0.033075802,6.52305031,2.08876681,0.0810639411,5.98395681,2.3271935,-0.111657187,5.46308517,2.66778469,-0.0380710475,5.01381111,3.18689632,0.0789808333,4.66725063,3.61989975,-0.0893112347,4.1810379,3.86164665,-0.068338275,3.58795691,3.94979429,0.126902059,3.12228227
32,0.280984223,-0.252056986,8.34184361,0.649837673,-0.140656129,7.88660336,1.08382547,0.00689661363,7.44123888,1.56690705,-0.1114944,6.98219252,1.88527238,-0.0372723266,6.43115282,2.0960567,0.0764671192,5.89138508,2.33165574,-0.115063116,5.36980391,2.67089963,-0.0419043116,4.92260933,3.19353175,0.0736506283,4.5806818,3.62864733,-0.0920646638,4.09420347,3.86565852,-0.0730407014,3.49910283,3.944911,0.123323143,3.03719926
