step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
23,0.195591241,-0.185094729,9.09663773,0.56590879,-0.0733035728,8.62734604,0.982997775,0.0714427009,8.1660471,1.43975735,-0.0836318359,7.69785452,1.77656245,0.000729562831,7.15924358,2.02996898,0.117732771,6.62645864,2.29371309,-0.0842628703,6.11093616,2.64478731,-0.00613927376,5.64547396,3.13320327,0.119981892,5.26123095,3.54860163,-0.0672583729,4.77623463,3.82716274,-0.0291320775,4.20129013,3.98771906,0.154376775,3.70976663
24,0.204773813,-0.192605734,9.0239315,0.574950933,-0.0808340758,8.55613422,0.993961275,0.064473927,8.09655285,1.45390785,-0.0867864713,7.62942934,1.78879023,-0.00352948974,7.08936071,2.03736734,0.113167711,6.55568933,2.29767632,-0.0876997262,6.03952789,2.64748406,-0.0102650207,5.57603216,3.13998175,0.115026332,5.19655657,3.557621,-0.070018895,4.71151447,3.83170438,-0.0341981128,4.13410711,3.98312116,0.151064649,3.64534998
25,0.214033306,-0.200099394,8.94843292,0.584063113,-0.0883535221,8.48214817,1.00498569,0.0574517995,8.02429581,1.46805918,-0.0899241343,7.55822706,1.80098379,-0.00777665293,7.01671886,2.04475164,0.108595327,6.48219109,2.30170441,-0.0911332667,5.96538258,2.65022945,-0.0143498424,5.50387287,3.14673948,0.110020116,5.12914944,3.56661439,-0.0727780014,4.64402723,3.83618021,-0.0392145403,4.06421375,3.97847509,0.147715434,3.5783658
26,0.223369554,-0.20757553,8.87014294,0.593245745,-0.0958616138,8.40538692,1.01607072,0.0503773727,7.94927692,1.48220837,-0.0930458158,7.48424959,1.8131417,-0.0120131066,6.94132042,2.05212188,0.104016714,6.40596533,2.30579638,-0.0945633873,5.88850164,2.65302491,-0.0183950644,5.42899561,3.15347695,0.104964361,5.05900812,3.5755794,-0.0755358338,4.57377338,3.84059024,-0.0441825613,3.99161005,3.97378469,0.144330248,3.50880909
27,0.232782304,-0.215034008,8.78906345,0.602499127,-0.10335806,8.32585239,1.02721572,0.0432517603,7.87149763,1.49635255,-0.0961524919,7.40749836,1.82526255,-0.0162400492,6.86316776,2.05947804,0.0994329229,6.32701302,2.30995178,-0.0979899541,5.80888557,2.65587115,-0.0224019997,5.3513999,3.16019559,0.0998601839,4.98613167,3.58451366,-0.0782925487,4.50075436,3.84493423,-0.0491033718,3.91629672,3.96905398,0.140910178,3.43667531
28,0.242271274,-0.222474694,8.70519447,0.611823499,-0.110842586,8.24354458,1.03842032,0.0360761024,7.79095936,1.51048911,-0.0992451236,7.3279748,1.83734512,-0.0204586368,6.7822628,2.06682038,0.0948449001,6.2453351,2.31416988,-0.101412818,5.72653532,2.65876937,-0.0263718739,5.27108431,3.16689587,0.0947086513,4.91051865,3.59341502,-0.0810483024,4.42497015,3.84921193,-0.0539781414,3.83827424,3.96428609,0.137456268,3.36195993
29,0.25183621,-0.229897454,8.61853695,0.621219277,-0.118314922,8.15846539,1.04968405,0.028851565,7.70766306,1.52461541,-0.102324672,7.24568081,1.84938836,-0.0246700291,6.69860697,2.07414913,0.0902535319,6.16093254,2.31844997,-0.104831778,5.64145136,2.66172028,-0.0303059015,5.18804836,3.17357898,0.0895108581,4.8321681,3.60228133,-0.0838032365,4.3464222,3.85342336,-0.0588080771,3.75754309,3.95948482,0.13396959,3.28465867
30,0.261476845,-0.237302184,8.52909184,0.6306867,-0.125774801,8.07061481,1.06100655,0.0215793233,7.62161016,1.53872883,-0.105392098,7.16061831,1.86139131,-0.0288753528,6.61220217,2.08146453,0.0856596306,6.07380629,2.32279134,-0.108246632,5.55363464,2.66472507,-0.0342052393,5.10229111,3.1802454,0.0842678621,4.75107908,3.61111021,-0.086557515,4.26511097,3.85756826,-0.0635943413,3.67410374,3.95465302,0.130451173,3.20476747
31,0.271192968,-0.244688734,8.43686008,0.640226126,-0.133221954,7.97999382,1.07238722,0.014260577,7.53280163,1.55282688,-0.108448349,7.07278824,1.87335289,-0.033075735,6.52305031,2.08876705,0.0810639337,5.98395681,2.3271935,-0.111657135,5.46308517,2.66778469,-0.0380709991,5.01381159,3.18689609,0.078980729,4.66725063,3.61989951,-0.0893112868,4.1810379,3.86164665,-0.0683381036,3.58795691,3.94979405,0.126902014,3.12228227
32,0.280984342,-0.252057016,8.34184265,0.649837852,-0.140656129,7.88660336,1.08382559,0.00689656194,7.44123888,1.56690717,-0.111494377,6.98219252,1.8852725,-0.0372722521,6.43115282,2.09605694,0.0764671117,5.89138508,2.33165574,-0.115063064,5.36980391,2.67089963,-0.0419042557,4.92260981,3.19353151,0.0736505091,4.5806818,3.62864709,-0.0920647234,4.09420347,3.86565852,-0.0730405226,3.49910283,3.94491076,0.123323105,3.03719926
